Word,Frequency,Label,Ngram_Range
phonenumber,513,1,1-1
to,445,1,1-1
a,160,1,1-1
the,157,1,1-1
free,151,1,1-1
for,149,1,1-1
your,137,1,1-1
now,126,1,1-1
txt,119,1,1-1
call,115,1,1-1
2,109,1,1-1
and,103,1,1-1
you,101,1,1-1
on,94,1,1-1
ur,93,1,1-1
or,91,1,1-1
stop,90,1,1-1
text,81,1,1-1
get,80,1,1-1
4,79,1,1-1
phonenumber,997,2,1-1
to,522,2,1-1
call,386,2,1-1
you,363,2,1-1
a,355,2,1-1
your,322,2,1-1
have,173,2,1-1
claim,166,2,1-1
for,153,2,1-1
prize,138,2,1-1
is,134,2,1-1
or,132,2,1-1
customer,130,2,1-1
now,118,2,1-1
free,118,2,1-1
the,117,2,1-1
on,113,2,1-1
are,107,2,1-1
please,104,2,1-1
mobile,104,2,1-1
to phonenumber,183,1,2-2
call phonenumber,47,1,2-2
phonenumber now,32,1,2-2
phonenumber to,32,1,2-2
stop to,24,1,2-2
your mobile,22,1,2-2
on phonenumber,20,1,2-2
will be,20,1,2-2
every week,19,1,2-2
for your,19,1,2-2
go to,15,1,2-2
to win,15,1,2-2
ur mob,15,1,2-2
send stop,14,1,2-2
week just,14,1,2-2
phonenumber for,14,1,2-2
win a,14,1,2-2
txt stop,14,1,2-2
just txt,13,1,2-2
a free,13,1,2-2
call phonenumber,264,2,2-2
you have,105,2,2-2
phonenumber now,83,2,2-2
a phonenumber,70,2,2-2
please call,66,2,2-2
to claim,66,2,2-2
on phonenumber,63,2,2-2
have won,57,2,2-2
to contact,52,2,2-2
phonenumber prize,50,2,2-2
you are,50,2,2-2
phonenumber phonenumber,48,2,2-2
has been,48,2,2-2
your mobile,48,2,2-2
to phonenumber,46,2,2-2
phonenumber to,43,2,2-2
selected to,41,2,2-2
phonenumber from,41,2,2-2
won a,40,2,2-2
contact you,39,2,2-2
to phonenumber now,26,1,3-3
stop to phonenumber,17,1,3-3
to phonenumber to,15,1,3-3
every week just,14,1,3-3
chat to phonenumber,11,1,3-3
tone 4 ur,11,1,3-3
week just txt,11,1,3-3
txt nokia to,11,1,3-3
to phonenumber tscs,10,1,3-3
thanks for your,10,1,3-3
po box phonenumber,10,1,3-3
nokia to phonenumber,10,1,3-3
chance to win,9,1,3-3
will be charged,9,1,3-3
nokia tone 4,9,1,3-3
4 ur mob,9,1,3-3
ur mob every,9,1,3-3
mob every week,9,1,3-3
to phonenumber for,9,1,3-3
to no phonenumber,9,1,3-3
call phonenumber now,54,2,3-3
please call phonenumber,48,2,3-3
you have won,40,2,3-3
call phonenumber from,39,2,3-3
guaranteed call phonenumber,37,2,3-3
to contact you,35,2,3-3
prize guaranteed call,35,2,3-3
have won a,32,2,3-3
a phonenumber prize,30,2,3-3
valid 12hrs only,30,2,3-3
to receive a,28,2,3-3
selected to receive,27,2,3-3
urgent your mobile,26,2,3-3
are selected to,25,2,3-3
awarded with a,24,2,3-3
phonenumber cash or,24,2,3-3
phonenumber from land,23,2,3-3
from land line,23,2,3-3
as a valued,22,2,3-3
to claim call,22,2,3-3
