Word,Frequency,Label,Ngram_Range
月,14498,1,1-1
活动,13667,1,1-1
t,9569,1,1-1
n,9464,1,1-1
号,9260,1,1-1
元,9101,1,1-1
0,8429,1,1-1
送,8400,1,1-1
日,8341,1,1-1
您好,8205,1,1-1
优惠,7646,1,1-1
折,6762,1,1-1
欢迎,6454,1,1-1
公司,5246,1,1-1
地址,4986,1,1-1
电话,4914,1,1-1
全场,4843,1,1-1
店,4182,1,1-1
新,4125,1,1-1
女人,4026,1,1-1
n 0,8419,1,2-2
0 t,8419,1,2-2
月 日,5773,1,2-2
月 号,3780,1,2-2
女人 节,2010,1,2-2
活动 时间,1381,1,2-2
新老 顾客,1318,1,2-2
元宵节 快乐,1239,1,2-2
时间 月,1228,1,2-2
价值 元,1188,1,2-2
全场 折,1143,1,2-2
期待 光临,1114,1,2-2
新 老客户,1106,1,2-2
欢迎 致电,1033,1,2-2
号 号,1028,1,2-2
无 抵押,982,1,2-2
折 优惠,957,1,2-2
n 1,943,1,2-2
1 t,943,1,2-2
特 推出,904,1,2-2
n 0 t,8419,1,3-3
n 1 t,943,1,3-3
活动 时间 月,786,1,3-3
月 日 月,714,1,3-3
月 日月 日,629,1,3-3
月 号 月,627,1,3-3
日 月 日,625,1,3-3
号 月 号,623,1,3-3
月 号 号,535,1,3-3
时间 月 日,439,1,3-3
祝您 元宵节 快乐,415,1,3-3
回馈 新老 顾客,385,1,3-3
欢迎 新老 顾客,374,1,3-3
月 日 日,366,1,3-3
时间 月 号,358,1,3-3
欢迎 来电 咨询,340,1,3-3
欢迎 新 老客户,327,1,3-3
尊敬 客户 您好,323,1,3-3
无 抵押 无担保,308,1,3-3
祝您 生活 愉快,298,1,3-3
