,text,highest_score_label
0,运城 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
1,CELLPHONE 我 不想 说 了 你 认真 看完 这 相册 吧 URL,紧迫
2,PLACE NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
3,姨姨 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
4,老夏 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
5,NAME PLACE 老同学 好 这 是 URL 班里 整理 好 的 集体 纪念 栅 和 联系 录 你 保存 一下 方便 日后 联系 祝 生活 愉快,冒充熟人
6,奶奶 看看 我们 之前 的 精彩 影集 URL,冒充熟人
7,NAME 这 段 NAME 相 你 qiao 瞧 URLlihxg,冒充熟人
8,大哥 手机 这 NAME 你 qiao 瞧 URLlxji,冒充熟人
9,多儿 酒店 看看 我们 之前 的 精彩 影集 URL,奖励
10,NAME 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
11,NAME NAME 看看 我们 之前 的 精彩 影集 URL,冒充熟人
12,农机站 你 看 一下 录像 URLrigdnlu,冒充权威机构
13,哥 我 实在 不想 说 了 你 自己 看看 完 这 相册 吧 URL,冒充熟人
14,NAME NAME 这 NAME 你 qiao 瞧 URLkixd,冒充熟人
15,NAME 直儿 看看 我们 之前 的 精彩 影集 URL,冒充熟人
16,NAME 局长 看看 我们 之前 的 精彩 影集 URL,冒充熟人
17,NAME 看看 我们 之前 的 精彩 影集 URL,冒充熟人
18,NAME PLACE 你 看 这 相册 还有 印象 吗 URL,冒充熟人
19,NAME 诊所 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充熟人
20,w NAME 律师 PLACE 卫全 所 我 是 NAME 志业 你 赶紧 看 一下 吧 你 都 上 新闻 了 URLrqysskr,冒充权威机构
21,NAME 这 里面 的 是 你 吧 你 和 他 的 事 都 快 传到 网上 了 URL,冒充熟人
22,利平 我 不想 说 了 你 认真 看完 这 相册 吧 URL,冒充权威机构
23,的 惹 五 合卖 保险 我 不想 说 了 你 认真 看完 这 相册 吧 URL,恐吓
