LABEL,TEXT,URL,EMAIL,PHONE,CLEANED_TEXT,HAS_URL,HAS_EMAIL,HAS_PHONE,TOKENIZED_TEXT,manipulation,sentiment,topic
0.0,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,No,No,No,your opinion about me 1 over 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 not matured 8 stylish 9 simple pls reply,False,False,False,"['your', 'opinion', 'about', 'me', '1', 'over', '2', 'jada', '3', 'kusruthi', '4', 'lovable', '5', 'silent', '6', 'spl', 'character', '7', 'not', 'matured', '8', 'stylish', '9', 'simple', 'pls', 'reply']",impersonation,negative,shipping
0.0,What's up? Do you want me to come online? If you are free we can talk sometime�,No,No,No,whats up do you want me to come online if you are free we can talk sometime,False,False,False,"['whats', 'up', 'do', 'you', 'want', 'me', 'to', 'come', 'online', 'if', 'you', 'are', 'free', 'we', 'can', 'talk', 'sometime']",urgency,positive,shipping
0.0,So u workin overtime nigpun?,No,No,No,so u workin overtime nigpun,False,False,False,"['so', 'u', 'workin', 'overtime', 'nigpun']",urgency,negative,impersonation of someone they know
0.0,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",No,No,No,also sir i sent you an email about how to log into the usc payment portal ill send you another message that should explain how things are back home have a great weekend,False,False,False,"['also', 'sir', 'i', 'sent', 'you', 'an', 'email', 'about', 'how', 'to', 'log', 'into', 'the', 'usc', 'payment', 'portal', 'ill', 'send', 'you', 'another', 'message', 'that', 'should', 'explain', 'how', 'things', 'are', 'back', 'home', 'have', 'a', 'great', 'weekend']",authority,positive,impersonation of someone they know
2.0,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,No,No,No,please stay at home to encourage the notion of staying at home all taxpaying citizens are entitled to phonenumber96 or more emergency refund smsgiofcvbd,False,False,False,"['please', 'stay', 'at', 'home', 'to', 'encourage', 'the', 'notion', 'of', 'staying', 'at', 'home', 'all', 'taxpaying', 'citizens', 'are', 'entitled', 'to', 'phonenumber96', 'or', 'more', 'emergency', 'refund', 'smsgiofcvbd']",incentives,positive,government
2.0,BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate,yes,No,yes,bankofamerica alert phonenumber please follow url reactivate,False,False,False,"['bankofamerica', 'alert', 'phonenumber', 'please', 'follow', 'url', 'reactivate']",urgency,positive,finance
0.0,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,No,No,No,sorry dude dont know how i forgot even after dan reminded me sorry hope you guys had fun,False,False,False,"['sorry', 'dude', 'dont', 'know', 'how', 'i', 'forgot', 'even', 'after', 'dan', 'reminded', 'me', 'sorry', 'hope', 'you', 'guys', 'had', 'fun']",authority,negative,impersonation of someone they know
0.0,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,No,No,No,i dont quite know what to do i still cant get hold of anyone i cud pick you up bout 730pm and we can see if theyre in the pub,False,False,False,"['i', 'dont', 'quite', 'know', 'what', 'to', 'do', 'i', 'still', 'cant', 'get', 'hold', 'of', 'anyone', 'i', 'cud', 'pick', 'you', 'up', 'bout', '730pm', 'and', 'we', 'can', 'see', 'if', 'theyre', 'in', 'the', 'pub']",invoking fear,negative,shipping
0.0,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,No,No,No,ok lor anyway i thk we cant get tickets now cos like quite late already u wan 2 go look 4 ur frens a not darren is wif them now,False,False,False,"['ok', 'lor', 'anyway', 'i', 'thk', 'we', 'cant', 'get', 'tickets', 'now', 'cos', 'like', 'quite', 'late', 'already', 'u', 'wan', '2', 'go', 'look', '4', 'ur', 'frens', 'a', 'not', 'darren', 'is', 'wif', 'them', 'now']",invoking fear,negative,impersonation of someone they know
0.0,Wat r u doing now?,No,No,No,wat r u doing now,False,False,False,"['wat', 'r', 'u', 'doing', 'now']",invoking fear,neutral,impersonation of someone they know
