LABEL,TEXT,URL,EMAIL,PHONE,CLEANED_TEXT,HAS_URL,HAS_EMAIL,HAS_PHONE,TOKENIZED_TEXT,prediction
2.0,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,No,No,No,please stay at home to encourage the notion of staying at home all taxpaying citizens are entitled to phonenumber96 or more emergency refund smsgiofcvbd,False,False,False,"['please', 'stay', 'at', 'home', 'to', 'encourage', 'the', 'notion', 'of', 'staying', 'at', 'home', 'all', 'taxpaying', 'citizens', 'are', 'entitled', 'to', 'phonenumber96', 'or', 'more', 'emergency', 'refund', 'smsgiofcvbd']",incentives
2.0,BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate,yes,No,yes,bankofamerica alert phonenumber please follow url reactivate,False,False,False,"['bankofamerica', 'alert', 'phonenumber', 'please', 'follow', 'url', 'reactivate']",urgency
2.0,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233,No,No,yes,ur awarded a city break and could win a phonenumber summer shopping spree every wk txt store to phonenumber  skilgme tscsphonenumber,False,False,False,"['ur', 'awarded', 'a', 'city', 'break', 'and', 'could', 'win', 'a', 'phonenumber', 'summer', 'shopping', 'spree', 'every', 'wk', 'txt', 'store', 'to', 'phonenumber', 'skilgme', 'tscsphonenumber']",incentives
2.0,	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,No,No,yes,	you have won as a valued vodafone customer our computer has picked you to win a phonenumber prize to collect is easy just call phonenumber,False,False,False,"['you', 'have', 'won', 'as', 'a', 'valued', 'vodafone', 'customer', 'our', 'computer', 'has', 'picked', 'you', 'to', 'win', 'a', 'phonenumber', 'prize', 'to', 'collect', 'is', 'easy', 'just', 'call', 'phonenumber']",incentives
2.0,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,No,No,yes,phony phonenumber award  todays voda numbers ending xxxx are selected to receive a phonenumber award if you have a match please call phonenumber quoting claim code phonenumber standard rates app,False,False,False,"['phony', 'phonenumber', 'award', 'todays', 'voda', 'numbers', 'ending', 'xxxx', 'are', 'selected', 'to', 'receive', 'a', 'phonenumber', 'award', 'if', 'you', 'have', 'a', 'match', 'please', 'call', 'phonenumber', 'quoting', 'claim', 'code', 'phonenumber', 'standard', 'rates', 'app']",impersonation
2.0,Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc,yes,No,No,apple id buxcx7gbvwwccod final notification your apple 1d is due to expire today prevent this by confirming your apple id aturl apple inc,False,False,False,"['apple', 'id', 'buxcx7gbvwwccod', 'final', 'notification', 'your', 'apple', '1d', 'is', 'due', 'to', 'expire', 'today', 'prevent', 'this', 'by', 'confirming', 'your', 'apple', 'id', 'aturl', 'apple', 'inc']",urgency
2.0,	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,No,No,yes,	todays voda numbers ending phonenumber are selected to receive a phonenumber award if you have a match please call phonenumber quoting claim code phonenumber standard rates app,False,False,False,"['todays', 'voda', 'numbers', 'ending', 'phonenumber', 'are', 'selected', 'to', 'receive', 'a', 'phonenumber', 'award', 'if', 'you', 'have', 'a', 'match', 'please', 'call', 'phonenumber', 'quoting', 'claim', 'code', 'phonenumber', 'standard', 'rates', 'app']",incentives
2.0,	You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,No,No,yes,	you have an important customer service announcement call freephone phonenumber phonenumber phonenumber now,False,False,True,"['you', 'have', 'an', 'important', 'customer', 'service', 'announcement', 'call', 'freephone', 'phonenumber', 'phonenumber', 'phonenumber', 'now']",urgency
2.0,	<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,No,No,yes,	forwarded from phonenumberplease call phonenumber immediately as there is an urgent message waiting for you,False,False,False,"['forwarded', 'from', 'phonenumberplease', 'call', 'phonenumber', 'immediately', 'as', 'there', 'is', 'an', 'urgent', 'message', 'waiting', 'for', 'you']",urgency
2.0,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP,No,No,yes,you have won a guaranteed phonenumber award or even phonenumber cashto claim ur award call free on phonenumber 18 2 stop getstop on phonenumber php,False,False,False,"['you', 'have', 'won', 'a', 'guaranteed', 'phonenumber', 'award', 'or', 'even', 'phonenumber', 'cashto', 'claim', 'ur', 'award', 'call', 'free', 'on', 'phonenumber', '18', '2', 'stop', 'getstop', 'on', 'phonenumber', 'php']",incentives
2.0,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",No,No,yes,you are being contacted by our dating service by someone you know to find out who it is call from a land line phonenumber pobox45w2tgphonenumberp,False,False,False,"['you', 'are', 'being', 'contacted', 'by', 'our', 'dating', 'service', 'by', 'someone', 'you', 'know', 'to', 'find', 'out', 'who', 'it', 'is', 'call', 'from', 'a', 'land', 'line', 'phonenumber', 'pobox45w2tgphonenumberp']",trust
2.0,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101359 NOW! Only 10p per min. BT-national-rate",No,No,yes,this is the 2nd time we have tried 2 contact u u have won the phonenumber pound prize 2 claim is easy call phonenumber now only 10p per min btnationalrate,False,False,False,"['this', 'is', 'the', '2nd', 'time', 'we', 'have', 'tried', '2', 'contact', 'u', 'u', 'have', 'won', 'the', 'phonenumber', 'pound', 'prize', '2', 'claim', 'is', 'easy', 'call', 'phonenumber', 'now', 'only', '10p', 'per', 'min', 'btnationalrate']",urgency
2.0,Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6200992462 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.,No,No,yes,dear paytm customer your paytm kyc has expired contact customer care nophonenumber immediately your account will block within 24 hr thank you paytm team,False,False,False,"['dear', 'paytm', 'customer', 'your', 'paytm', 'kyc', 'has', 'expired', 'contact', 'customer', 'care', 'nophonenumber', 'immediately', 'your', 'account', 'will', 'block', 'within', '24', 'hr', 'thank', 'you', 'paytm', 'team']",urgency
2.0,	Please CALL 08712402779 immediately as there is an urgent message waiting for you,No,No,yes,	please call phonenumber immediately as there is an urgent message waiting for you,False,False,False,"['please', 'call', 'phonenumber', 'immediately', 'as', 'there', 'is', 'an', 'urgent', 'message', 'waiting', 'for', 'you']",urgency
2.0,"Dear customer, Due to BVN system upgrade your ATM CARD has been De-activated, to re-activate, kindly call customer care on 08065635084 for help.",No,No,yes,dear customer due to bvn system upgrade your atm card has been deactivated to reactivate kindly call customer care on phonenumber for help,False,False,False,"['dear', 'customer', 'due', 'to', 'bvn', 'system', 'upgrade', 'your', 'atm', 'card', 'has', 'been', 'deactivated', 'to', 'reactivate', 'kindly', 'call', 'customer', 'care', 'on', 'phonenumber', 'for', 'help']",authority
2.0,	You have 1 new voicemail. Please call 0871918154.,No,No,yes,	you have 1 new voicemail please call phonenumber,False,False,False,"['you', 'have', '1', 'new', 'voicemail', 'please', 'call', 'phonenumber']",urgency
