Word,Frequency,Label,Ngram_Range
phonenumber,939,1,1-1
to,689,1,1-1
a,378,1,1-1
call,347,1,1-1
you,287,1,1-1
your,263,1,1-1
free,216,1,1-1
the,204,1,1-1
for,203,1,1-1
âphonenumber,194,1,1-1
now,189,1,1-1
or,188,1,1-1
2,173,1,1-1
is,158,1,1-1
txt,150,1,1-1
u,147,1,1-1
on,145,1,1-1
ur,144,1,1-1
have,135,1,1-1
from,128,1,1-1
to phonenumber,213,1,2-2
call phonenumber,209,1,2-2
phonenumber now,83,1,2-2
you have,73,1,2-2
a âphonenumber,63,1,2-2
phonenumber to,56,1,2-2
have won,54,1,2-2
on phonenumber,53,1,2-2
your mobile,49,1,2-2
âphonenumber prize,48,1,2-2
to claim,46,1,2-2
please call,44,1,2-2
won a,40,1,2-2
âphonenumber cash,40,1,2-2
this is,40,1,2-2
phonenumber phonenumber,39,1,2-2
to contact,37,1,2-2
phonenumber from,37,1,2-2
you are,35,1,2-2
stop to,29,1,2-2
call phonenumber now,40,1,3-3
you have won,37,1,3-3
to phonenumber now,34,1,3-3
have won a,33,1,3-3
call phonenumber from,32,1,3-3
a âphonenumber prize,29,1,3-3
please call phonenumber,27,1,3-3
âphonenumber cash or,24,1,3-3
guaranteed call phonenumber,23,1,3-3
âphonenumber prize guaranteed,21,1,3-3
prize guaranteed call,21,1,3-3
stop to phonenumber,20,1,3-3
po box phonenumber,19,1,3-3
urgent your mobile,18,1,3-3
to contact u,18,1,3-3
to phonenumber to,17,1,3-3
to no phonenumber,17,1,3-3
your phonenumber account,17,1,3-3
call phonenumber to,17,1,3-3
to contact you,16,1,3-3
