Word,Frequency,Label,Ngram_Range
digit,14394,1,1-1
name,8033,1,1-1
place,6521,1,1-1
元,4991,1,1-1
退订,3331,1,1-1
url,2715,1,1-1
流量,2691,1,1-1
送,2236,1,1-1
月,2235,1,1-1
回,2203,1,1-1
日,2063,1,1-1
td,2027,1,1-1
折,1779,1,1-1
回复,1571,1,1-1
会员,1550,1,1-1
手机,1347,1,1-1
移动,1289,1,1-1
更,1238,1,1-1
活动,1175,1,1-1
话费,1128,1,1-1
url,2342,2,1-1
请,2169,2,1-1
尊敬,2148,2,1-1
digit,1710,2,1-1
用户,1708,2,1-1
name,1449,2,1-1
已,1147,2,1-1
积分,1084,2,1-1
失效,1072,2,1-1
兑换,966,2,1-1
我行,962,2,1-1
现金,914,2,1-1
逾期,824,2,1-1
领取,819,2,1-1
工商银行,810,2,1-1
可兑换,724,2,1-1
place,669,2,1-1
登陆,662,2,1-1
满,659,2,1-1
手机,642,2,1-1
digit 元,3739,1,2-2
td 退订,1386,1,2-2
回 td,1101,1,2-2
月 日,938,1,2-2
退订 回,742,1,2-2
满 digit,716,1,2-2
place 移动,675,1,2-2
回复 td,649,1,2-2
减 digit,649,1,2-2
送 digit,618,1,2-2
digit m,604,1,2-2
digit mb,580,1,2-2
name name,513,1,2-2
回 t,501,1,2-2
place place,484,1,2-2
digit 日,477,1,2-2
元 话费,475,1,2-2
唯品 会,461,1,2-2
url 退订,456,1,2-2
月 digit,448,1,2-2
已 满,622,2,2-2
兑换 逾期,553,2,2-2
现金 请,545,2,2-2
逾期 失效,541,2,2-2
url 查询,516,2,2-2
可兑换 现金,500,2,2-2
敬请 谅解,492,2,2-2
url 进行,486,2,2-2
不便 敬请,485,2,2-2
密码 器,485,2,2-2
带来 不便,481,2,2-2
查询 兑换,479,2,2-2
积分 可兑换,477,2,2-2
digit 元,466,2,2-2
尊敬 工行,463,2,2-2
请 及时,427,2,2-2
工行 用户,414,2,2-2
失效 建设银行,389,2,2-2
失效 请,374,2,2-2
尊敬 建行,373,2,2-2
回 td 退订,947,1,3-3
digit 减 digit,400,1,3-3
退订 回 n,383,1,3-3
digit 元 话费,348,1,3-3
月 digit 日,337,1,3-3
退订 回复 td,326,1,3-3
回复 td 退订,293,1,3-3
满 digit 减,283,1,3-3
url 回 td,272,1,3-3
送 digit 元,262,1,3-3
回 t 退订,260,1,3-3
不 限 地点,247,1,3-3
您好 信用 极好,244,1,3-3
信用 极好 邀,244,1,3-3
极好 邀 加入,244,1,3-3
邀 加入 工作,243,1,3-3
加入 工作 不,243,1,3-3
工作 不 限,243,1,3-3
限 地点 時間,243,1,3-3
地点 時間 手机,243,1,3-3
不便 敬请 谅解,481,2,3-3
url 查询 兑换,461,2,3-3
尊敬 工行 用户,414,2,3-3
带来 不便 敬请,413,2,3-3
兑换 逾期 失效,410,2,3-3
查询 兑换 逾期,397,2,3-3
积分 可兑换 现金,392,2,3-3
可兑换 现金 请,383,2,3-3
逾期 失效 建设银行,376,2,3-3
账户 已 满,336,2,3-3
敬请 谅解 工商银行,328,2,3-3
尊敬 建行 用户,323,2,3-3
已 满 digit,317,2,3-3
尊敬 cellphone 用户,290,2,3-3
cellphone 用户 中国联通,290,2,3-3
用户 中国联通 name,290,2,3-3
中国联通 name 提示,290,2,3-3
name 提示 g,290,2,3-3
提示 g 专属,290,2,3-3
g 专属 流量,290,2,3-3
